time,C1W,C2W,D1W,D2W,L1W,L2W,sv
2022-11-20 12:29:30,24129046.38,24129051.1,3663.705,2854.835,126798984.418,98804419.613,G15
2022-11-20 12:30:00,24108146.52,24108153.64,3657.429,2849.945,126689164.163,98718845.545,G15
2022-11-20 12:30:30,24087285.62,24087291.86,3650.902,2844.858,126579539.305,98633423.7,G15
2022-11-20 12:31:00,24066462.34,24066467.96,3644.334,2839.741,126470112.364,98548156.042,G15
2022-11-20 12:31:30,24045677.22,24045684.94,3637.419,2834.352,126360886.152,98463044.828,G15
2022-11-20 12:32:00,24024930.44,24024935.8,3631.044,2829.385,126251863.026,98378091.838,G15
2022-11-20 12:32:30,24004222.96,24004229.32,3623.595,2823.58,126143045.675,98293299.229,G15
2022-11-20 12:33:00,23983556.66,23983561.86,3616.856,2818.329,126034436.349,98208668.662,G15
2022-11-20 12:33:30,23962927.62,23962934.46,3609.763,2812.802,125926037.642,98124202.231,G15
2022-11-20 12:34:00,23942341.06,23942347.94,3602.839,2807.407,125817852.23,98039902.024,G15
2022-11-20 12:34:30,23921794.88,23921801.48,3595.299,2801.531,125709882.741,97955770.07,G15
2022-11-20 12:35:00,23901291.3,23901296.76,3588.06,2795.891,125602131.468,97871808.164,G15
2022-11-20 12:35:30,23880828.98,23880834.68,3580.493,2789.995,125494601.112,97788018.403,G15
2022-11-20 12:36:00,23860408.1,23860413.16,3573.098,2784.232,125387294.614,97704403.075,G15
2022-11-20 12:36:30,23840031.82,23840037.7,3565.646,2778.426,125280213.873,97620963.682,G15
2022-11-20 12:37:00,23819698.6,23819703.64,3557.885,2772.378,125173361.577,97537702.285,G15
2022-11-20 12:37:30,23799408.94,23799413.36,3550.214,2766.4,125066740.186,97454620.797,G15
2022-11-20 12:38:00,23779164.46,23779168.28,3542.19,2760.148,124960352.35,97371721.312,G15
2022-11-20 12:38:30,23758964.52,23758968.78,3534.421,2754.094,124854200.97,97289006.067,G15
2022-11-20 12:39:00,23738809.58,23738814.06,3526.389,2747.836,124748288.332,97206476.843,G15
2022-11-20 12:39:30,23718700.72,23718705.78,3518.274,2741.512,124642617.073,97124135.716,G15
2022-11-20 12:40:00,23698638.68,23698643.02,3510.187,2735.21,124537189.849,97041984.732,G15
2022-11-20 12:40:30,23678622.68,23678628.84,3502.062,2728.88,124432009.355,96960026.022,G15
2022-11-20 12:41:00,23658654.52,23658659.64,3493.473,2722.187,124327077.992,96878261.442,G15
2022-11-20 12:41:30,23638735.3,23638739.7,3485.201,2715.741,124222398.119,96796692.802,G15
2022-11-20 12:42:00,23618862.8,23618868.24,3476.534,2708.988,124117972.855,96715322.557,G15
2022-11-20 12:42:30,23599040.14,23599046.24,3467.715,2702.116,124013804.702,96634152.661,G15
2022-11-20 12:43:00,23579267.14,23579272.96,3459.361,2695.606,123909895.958,96553184.878,G15
2022-11-20 12:43:30,23559544.84,23559549.86,3450.281,2688.53,123806249.433,96472421.444,G15
2022-11-20 12:44:00,23539871.88,23539876.82,3441.608,2681.773,123702867.624,96391864.236,G15
2022-11-20 12:44:30,23520248.6,23520254.12,3432.748,2674.868,123599753.019,96311515.283,G15
2022-11-20 12:45:00,23500677.84,23500684.34,3423.602,2667.742,123496908.864,96231377.031,G15
2022-11-20 12:45:30,23481158.76,23481164.56,3414.601,2660.728,123394337.487,96151451.337,G15
2022-11-20 12:46:00,23461693.04,23461698.02,3405.231,2653.427,123292041.332,96071740.131,G15
2022-11-20 12:46:30,23442279.26,23442284.78,3395.942,2646.189,123190023.035,95992245.381,G15
2022-11-20 12:47:00,23422919.74,23422924.62,3386.756,2639.031,123088285.309,95912969.278,G15
2022-11-20 12:47:30,23403613.58,23403619.3,3377.104,2631.509,122986831.035,95833914.067,G15
2022-11-20 12:48:00,23384360.44,23384366.88,3367.393,2623.942,122885662.731,95755081.692,G15
2022-11-20 12:48:30,23365164.44,23365170.2,3357.671,2616.367,122784782.627,95676473.866,G15
2022-11-20 12:49:00,23346023.5,23346028.96,3347.958,2608.799,122684193.61,95598092.908,G15
2022-11-20 12:49:30,23326938.62,23326943.56,3338.439,2601.381,122583898.728,95519941.09,G15
2022-11-20 12:50:00,23307909.38,23307913.16,3328.23,2593.426,122483900.304,95442020.31,G15
2022-11-20 12:50:30,23288937.24,23288941.2,3318.169,2585.586,122384200.833,95364332.49,G15
2022-11-20 12:51:00,23270022.48,23270027.12,3308.219,2577.833,122284803.001,95286879.71,G15
2022-11-20 12:51:30,23251165.24,23251168.76,3298.211,2570.035,122185709.764,95209664.272,G15
2022-11-20 12:52:00,23232366.62,23232371.58,3287.679,2561.828,122086923.634,95132688.165,G15
2022-11-20 12:52:30,23213627.94,23213631.8,3277.441,2553.85,121988447.06,95055953.25,G15
2022-11-20 12:53:00,23194947.64,23194951.92,3266.856,2545.602,121890283.015,94979461.869,G15
2022-11-20 12:53:30,23176327.5,23176331.84,3256.294,2537.372,121792434.247,94903216.155,G15
