time,C1W,C2W,D1W,D2W,L1W,L2W,sv
2022-11-20 11:10:30,24845755.16,24845762.52,3659.388,2851.471,130565320.452,101739211.958,G13
2022-11-20 11:11:00,24824865.72,24824871.48,3657.767,2850.208,130455557.854,101653682.475,G13
2022-11-20 11:11:30,24803986.54,24803995.32,3656.479,2849.204,130345838.102,101568186.589,G13
2022-11-20 11:12:00,24783119.2,24783123.08,3655.022,2848.069,130236162.735,101482726.283,G13
2022-11-20 11:13:30,24720556.92,24720563.64,3650.367,2844.442,129907416.975,101226562.069,G13
2022-11-20 11:14:00,24699723.44,24699731.24,3648.417,2842.922,129797933.33,101141250.239,G13
2022-11-20 11:14:30,24678899.2,24678906.82,3647.086,2841.885,129688500.921,101055978.306,G13
2022-11-20 11:15:00,24658083.96,24658092.88,3645.12,2840.353,129579121.212,100970747.508,G13
2022-11-20 11:15:30,24637282.44,24637288.76,3643.219,2838.872,129469796.327,100885559.353,G13
2022-11-20 11:16:00,24616490.02,24616494.24,3641.365,2837.427,129360527.176,100800414.738,G13
2022-11-20 11:16:30,24595707.16,24595711.9,3639.426,2835.916,129251315.578,100715314.985,G13
2022-11-20 11:17:00,24574937.02,24574942.02,3637.446,2834.373,129142162.609,100630260.942,G13
2022-11-20 11:17:30,24554176.76,24554180.38,3635.475,2832.838,129033069.922,100545228.916,G13
2022-11-20 11:18:00,24533428.0,24533433.56,3633.238,2831.094,128924039.187,100460270.152,G13
2022-11-20 11:18:30,24512690.92,24512697.16,3631.244,2829.54,128815071.534,100375360.525,G13
2022-11-20 11:19:00,24491967.82,24491972.74,3628.818,2827.65,128706168.475,100290501.259,G13
2022-11-20 11:19:30,24471256.02,24471266.18,3626.665,2825.973,128597331.877,100205703.702,G13
2022-11-20 11:20:30,24429872.96,24429878.7,3622.055,2822.381,128379863.159,100036246.799,G13
2022-11-20 11:21:00,24409201.12,24409207.6,3619.634,2820.494,128271234.314,99951601.017,G13
2022-11-20 11:21:30,24388540.52,24388549.16,3617.254,2818.64,128162677.596,99867011.377,G13
2022-11-20 11:22:00,24367898.7,24367906.12,3614.759,2816.695,128054194.756,99782479.311,G13
2022-11-20 11:22:30,24347269.76,24347276.84,3612.28,2814.763,127945787.211,99698005.829,G13
2022-11-20 11:23:00,24326655.48,24326663.56,3609.658,2812.72,127837456.707,99613592.355,G13
2022-11-20 11:23:30,24306057.28,24306062.58,3607.232,2810.83,127729204.815,99529240.177,G13
2022-11-20 11:24:00,24285471.48,24285477.0,3604.419,2808.638,127621033.116,99444950.487,G13
2022-11-20 11:24:30,24264903.38,24264910.18,3601.712,2806.529,127512943.355,99360724.704,G13
2022-11-20 11:25:00,24244350.66,24244356.92,3598.678,2804.165,127404936.751,99276563.758,G13
2022-11-20 11:25:30,24223815.9,24223821.22,3595.779,2801.906,127297015.178,99192469.1,G13
2022-11-20 11:26:00,24203292.54,24203300.24,3593.206,2799.901,127189180.368,99108442.063,G13
2022-11-20 11:26:30,24182789.62,24182797.32,3590.011,2797.411,127081433.932,99024483.962,G13
2022-11-20 11:27:00,24162300.94,24162308.94,3587.221,2795.237,126973776.953,98940595.543,G13
2022-11-20 11:27:30,24141832.8,24141840.12,3583.776,2792.553,126866211.353,98856778.334,G13
2022-11-20 11:28:00,24121380.7,24121386.72,3580.839,2790.264,126758738.521,98773033.409,G13
2022-11-20 11:28:30,24100949.06,24100956.64,3577.528,2787.684,126651360.416,98689362.255,G13
2022-11-20 11:29:00,24080533.42,24080539.64,3574.681,2785.465,126544078.378,98605766.032,G13
2022-11-20 11:29:30,24060136.08,24060143.38,3571.071,2782.653,126436894.239,98522246.065,G13
2022-11-20 11:30:00,24039760.34,24039765.82,3567.754,2780.068,126329809.683,98438803.678,G13
2022-11-20 11:30:30,24019401.1,24019406.62,3564.237,2777.327,126222826.325,98355440.162,G13
2022-11-20 11:31:00,23999061.96,23999069.26,3560.808,2774.656,126115945.691,98272156.692,G13
2022-11-20 11:31:30,23978742.92,23978750.2,3557.365,2771.973,126009169.513,98188954.613,G13
2022-11-20 11:32:00,23958443.28,23958451.08,3553.955,2769.316,125902499.29,98105835.102,G13
2022-11-20 11:32:30,23938167.18,23938172.02,3550.252,2766.43,125795937.208,98022799.867,G13
2022-11-20 11:33:00,23917909.32,23917915.62,3546.65,2763.623,125689484.428,97939849.79,G13
2022-11-20 11:33:30,23897673.64,23897678.36,3542.97,2760.756,125583143.044,97856986.511,G13
2022-11-20 11:34:00,23877457.22,23877462.86,3538.931,2757.608,125476914.743,97774211.331,G13
2022-11-20 11:34:30,23857264.2,23857272.32,3535.128,2754.645,125370800.769,97691525.248,G13
2022-11-20 11:35:00,23837094.04,23837102.32,3531.307,2751.668,125264803.075,97608929.699,G13
2022-11-20 11:35:30,23816946.54,23816952.94,3527.244,2748.502,125158923.343,97526426.096,G13
2022-11-20 11:36:00,23796820.84,23796827.62,3523.409,2745.513,125053163.297,97444015.763,G13
2022-11-20 11:36:30,23776718.28,23776724.8,3519.332,2742.337,124947525.019,97361700.322,G13
