time,C1W,C2W,D1W,D2W,L1W,L2W,sv
2022-11-20 08:00:30,24671383.62,24671392.32,3475.735,2708.365,129649018.491,101025217.257,G16
2022-11-20 08:01:00,24651557.52,24651565.64,3469.927,2703.839,129544834.147,100944034.796,G16
2022-11-20 08:01:30,24631765.76,24631773.34,3463.528,2698.853,129440831.002,100862993.517,G16
2022-11-20 08:02:00,24612010.38,24612016.54,3457.313,2694.01,129337012.574,100782096.133,G16
2022-11-20 08:02:30,24592290.24,24592298.64,3451.02,2689.107,129233382.239,100701345.307,G16
2022-11-20 08:03:00,24572606.42,24572614.3,3444.633,2684.13,129129943.206,100620743.522,G16
2022-11-20 08:03:30,24552959.38,24552966.4,3438.208,2679.123,129026699.379,100540293.769,G16
2022-11-20 08:04:00,24533350.56,24533357.74,3431.167,2673.637,128923653.938,100459998.593,G16
2022-11-20 08:04:30,24513779.04,24513788.8,3424.745,2668.633,128820810.316,100379860.71,G16
2022-11-20 08:05:00,24494246.8,24494256.14,3417.593,2663.059,128718171.89,100299882.65,G16
2022-11-20 08:05:30,24474756.06,24474763.76,3410.864,2657.816,128615742.3,100220067.326,G16
2022-11-20 08:06:00,24455305.84,24455313.54,3403.886,2652.379,128513525.22,100140417.565,G16
2022-11-20 08:06:30,24435894.04,24435901.5,3396.186,2646.378,128411523.899,100060935.936,G16
2022-11-20 08:07:00,24416526.9,24416534.54,3388.974,2640.759,128309741.411,99981624.858,G16
2022-11-20 08:07:30,24397201.18,24397209.32,3381.593,2635.008,128208181.697,99902487.344,G16
2022-11-20 08:08:00,24377918.0,24377926.38,3373.88,2628.998,128106848.362,99823526.228,G16
2022-11-20 08:08:30,24358677.44,24358684.94,3366.222,2623.03,128005744.556,99744744.02,G16
2022-11-20 08:09:00,24339483.2,24339490.66,3358.229,2616.802,127904873.914,99666143.542,G16
2022-11-20 08:09:30,24320333.58,24320341.74,3350.357,2610.668,127804239.856,99587727.395,G16
2022-11-20 08:10:00,24301226.88,24301236.58,3342.219,2604.326,127703845.938,99509498.367,G16
2022-11-20 08:10:30,24282170.68,24282179.44,3334.492,2598.305,127603695.382,99431459.051,G16
2022-11-20 08:11:00,24263160.26,24263168.58,3325.957,2591.654,127503791.89,99353612.25,G16
2022-11-20 08:11:30,24244196.26,24244204.88,3317.435,2585.014,127404138.918,99275960.637,G16
2022-11-20 08:12:00,24225280.6,24225289.86,3309.151,2578.559,127304739.581,99198506.72,G16
2022-11-20 08:12:30,24206414.36,24206423.26,3300.437,2571.769,127205597.8,99121253.506,G16
2022-11-20 08:13:00,24187598.76,24187606.02,3291.852,2565.08,127106716.751,99044203.477,G16
2022-11-20 08:13:30,24168833.0,24168840.12,3282.662,2557.918,127008100.03,98967359.414,G16
2022-11-20 08:14:00,24150116.94,24150125.98,3273.819,2551.028,126909751.098,98890723.952,G16
2022-11-20 08:14:30,24131452.4,24131461.4,3264.68,2543.907,126811673.171,98814299.701,G16
2022-11-20 08:15:00,24112840.62,24112850.06,3255.595,2536.827,126713869.809,98738089.332,G16
2022-11-20 08:15:30,24094282.1,24094289.9,3246.093,2529.424,126616344.958,98662095.996,G16
2022-11-20 08:16:00,24075778.6,24075785.8,3236.607,2522.032,126519101.489,98586321.857,G16
2022-11-20 08:16:30,24057328.82,24057336.42,3227.224,2514.72,126422142.918,98510769.702,G16
