time,ECEF,sv,position,clock,velocity,dclock
2022-11-20 00:08:30,z,G15,15172.695249,-10.984413,1.1291333173978157e-42,1.255369195849325e-71
2022-11-20 00:09:00,x,G15,-5545.020891,-10.984407,3.7707126964171063e+77,1.5724534500088905e-76
2022-11-20 00:09:00,y,G15,20568.388856,-10.984407,3.532883866690035e-57,1.5724534500088905e-76
2022-11-20 00:09:00,z,G15,15237.578569,-10.984407,4.42226843532855e-62,1.5724534500088905e-76
2022-11-20 00:09:30,x,G15,-5571.401195,-10.984376,5.646937419717016e-38,6.041262040679979e-154
2022-11-20 00:09:30,y,G15,20512.496938,-10.984376,5.34734236650643e-38,6.041262040679979e-154
2022-11-20 00:09:30,z,G15,15302.157608,-10.984376,3.660358541006635e-86,6.041262040679979e-154
2022-11-20 00:10:00,x,G15,-5597.941893,-10.98435,2.9081586471754283e-33,4.759581704214438e-38
2022-11-20 00:10:00,y,G15,20456.409396,-10.98435,4.563451593663289e-72,4.759581704214438e-38
2022-11-20 00:10:00,z,G15,15366.431055,-10.98435,3.8571372227860056e-57,4.759581704214438e-38
2022-11-20 00:10:30,x,G15,-5624.643429,-10.984343,6.013470441328075e-154,1.6901385911290044e-52
2022-11-20 00:10:30,y,G15,20400.127759,-10.984343,1.2560350107498893e-71,1.6901385911290044e-52
2022-11-20 00:10:30,z,G15,15430.397607,-10.984343,1.7040476391101283e-52,1.6901385911290044e-52
2022-11-20 00:11:00,x,G15,-5651.506235,-10.984191,3.535426713336826e-57,6.013567242124987e-154
2022-11-20 00:11:00,y,G15,20343.65356,-10.984191,4.563442959346012e-72,6.013567242124987e-154
2022-11-20 00:11:00,z,G15,15494.055967,-10.984191,2.1077469502082405e-52,6.013567242124987e-154
2022-11-20 00:11:30,x,G15,-5678.530735,-10.984075,7.717994747245534e-43,2.4052588216383216e-57
2022-11-20 00:11:30,y,G15,20286.988338,-10.984075,1.879793201217083e-153,2.4052588216383216e-57
2022-11-20 00:11:30,z,G15,15557.404845,-10.984075,1.576715082447135e-52,2.4052588216383216e-57
2022-11-20 00:12:00,x,G15,-5705.717344,-10.983889,1.4864264587329242e-76,3.059363585302874e-57
2022-11-20 00:12:00,y,G15,20230.133635,-10.983889,1.47898619962363e-76,3.059363585302874e-57
2022-11-20 00:12:00,z,G15,15620.442955,-10.983889,3.3767471350804786e-57,3.059363585302874e-57
2022-11-20 00:12:30,x,G15,-5733.066469,-10.98382,4.682561337564837e-62,1.5803296185423297e-153
2022-11-20 00:12:30,y,G15,20173.091002,-10.98382,3.658023870001551e-86,1.5803296185423297e-153
2022-11-20 00:12:30,z,G15,15683.169019,-10.98382,6.042746818705874e-154,1.5803296185423297e-153
2022-11-20 00:13:00,x,G15,-5760.578505,-10.983734,2.9070301667035514e-33,1.0289771953569983e-71
2022-11-20 00:13:00,y,G15,20115.861991,-10.983734,6.013584335223545e-154,1.0289771953569983e-71
2022-11-20 00:13:00,z,G15,15745.581765,-10.983734,7.118749714951322e-67,1.0289771953569983e-71
2022-11-20 00:13:30,x,G15,-5788.253841,-10.983642,8.982097048189859e-67,3.695978086061684e-57
2022-11-20 00:13:30,y,G15,20058.448162,-10.983642,3.311077020201313e-33,3.695978086061684e-57
